uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
371,Cardcaptor Sakura Movie 1,"It's winter vacation and Sakura wins a trip to Hong Kong. Kero, skeptic of her luck in lotteries, questions whether she was merely lucky or was she summoned to Hong Kong upon inevitability. As Sakura strolls through Hong Kong's Bird Street, she senses an evil force calling to her. On chasing two strange birds, she is lead to a phantom world where she learns she was actually made to come to Hong Kong by a woman, Madoushi, who apparently wants revenge on Clow Reed. With Syaoran's mother, Yelan's help and the guidance from Clow Reed's voice, she must fight Madoushi and rescue her friends and loved ones, who have been captured.","['Comedy', 'Drama', 'Fantasy', 'Magic', 'Shoujo']","Aug 21, 1999",1.0,74854,1423,1120.0,7.71,https://cdn.myanimelist.net/images/anime/1733/90336.jpg,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1
6772,Break Blade 1: Kakusei no Toki,"In the continent of Cruzon, an impending war between the Kingdom of Krisna and the nation of Athens is brimming. The people of this land are able to use quartz for whatever purpose they desire. Yet one person, Rygart Arrow, is not. He is an ""un-sorcerer,"" a person unable to use quartz. But this characteristic will enable him to pilot an ancient Golem, one strong enough to put up a fight against the invading army of Athens.","['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']","May 29, 2010",1.0,72410,1456,1119.0,7.71,https://cdn.myanimelist.net/images/anime/10/68079.jpg,https://myanimelist.net/anime/6772/Break_Blade_1__Kakusei_no_Toki
28755,Boruto: Naruto the Movie,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. Upon learning that his father will watch the aspiring ninjas who will participate in the upcoming Chunin exams, Boruto is driven to prove to him that he is worthy of his attention. In order to do so, he enlists the help of Naruto's childhood friend and rival, Sasuke Uchiha.  
 
The Chunin exams begin and progress smoothly, until suddenly, the Konohagakure is attacked by a new foe that threatens the long-standing peace of the village. Now facing real danger, Naruto and his comrades must work together to protect the future of their cherished home and defeat the evil that terrorizes their world. As this battle ensues, Boruto comes to realize the struggles his father once experienced—and what it truly means to be a ninja. 
 
[Written by MAL Rewrite]","['Action', 'Comedy', 'Martial Arts', 'Shounen', 'Super Power']","Aug 7, 2015",1.0,230137,456,1118.0,7.71,https://cdn.myanimelist.net/images/anime/4/78280.jpg,https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie
24913,Bokura wa Minna Kawai-sou: Hajimete no,Unaired episode included in the 7th Blu-ray/DVD volume of  Bokura wa Minna Kawaisou  anime.,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Seinen']","Jan 30, 2015",1.0,33844,2392,1117.0,7.71,https://cdn.myanimelist.net/images/anime/12/71613.jpg,https://myanimelist.net/anime/24913/Bokura_wa_Minna_Kawai-sou__Hajimete_no
1690,Bokura no,"15 children, 8 boys and 7 girls, are enjoying their summer camp together when they suddenly discover a grotto by the sea. When they enter the mysterious place they find a room full of computers, as well as a man named Kokopelli, who introduces himself as the owner. He claims to be working on a game which involves a giant robot that has been designed to protect the Earth from 15 different alien invasions. Kokopelli hasn't been able to test the game yet, so he persuades all but one of the children to sign a contract in what he claims will be a fun adventure. 
 
However, as soon as the contracts are signed things start to take a much darker turn. In  Bokurano , the children must now pilot the giant robot Zearth one at a time in the hopes that they will have what it takes to defeat all of the upcoming enemies. But Kokopelli has left out one very important piece of information: the giant robot Zearth's energy source.","['Sci-Fi', 'Psychological', 'Drama', 'Mecha', 'Seinen']","Apr 9, 2007 to Sep 25, 2007",24.0,118118,948,1116.0,7.71,https://cdn.myanimelist.net/images/anime/1690/97048.jpg,https://myanimelist.net/anime/1690/Bokura_no
22199,Akame ga Kill!,"Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of the child emperor's inexperience. Without a strong and benevolent leader, the rest of the nation is left to drown in poverty, strife, and ruin. Though the Night Raid members are all experienced killers, they understand that taking lives is far from commendable and that they will likely face retribution as they mercilessly eliminate anyone who stands in the revolution's way. 
 
This merry band of assassins' newest member is Tatsumi, a naïve boy from a remote village who had embarked on a journey to help his impoverished hometown and was won over by not only Night Raid's ideals, but also their resolve.  Akame ga Kill!  follows Tatsumi as he fights the Empire and comes face-to-face with powerful weapons, enemy assassins, challenges to his own morals and values, and ultimately, what it truly means to be an assassin with a cause. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']","Jul 7, 2014 to Dec 15, 2014",24.0,1015302,24,1115.0,7.71,https://cdn.myanimelist.net/images/anime/1429/95946.jpg,https://myanimelist.net/anime/22199/Akame_ga_Kill
33337,ACCA: 13-ku Kansatsu-ka,"ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit? 
 
Intriguing and mysterious,  ACCA: 13-ku Kansatsu-ka  is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds. 
 
[Written by MAL Rewrite]","['Police', 'Fantasy', 'Mystery', 'Drama', 'Seinen']","Jan 10, 2017 to Mar 28, 2017",12.0,100022,1098,1114.0,7.71,https://cdn.myanimelist.net/images/anime/3/83776.jpg,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka
1002,Top wo Nerae 2! Diebuster,"Generations have passed since the war with the Space Monsters started, and none remain who know how it began, with even records of those times being scarce. It is a lost cause, but humanity still fights against them, relying on the ""Topless"": a group of elite space pilots with special powers that allow them to use the Buster Machines—the last hope against the Space Monsters.   
 
Nono, a girl from a remote Martian town, has heard tales all her life of the legendary pilot ""Nono-Riri,"" and wants nothing more than to leave her humble life behind and follow in the footsteps of her idol. Though she has no idea of the dangers that lie ahead, nothing will stop her from achieving her dream. While Nono is down on her luck, she chances upon the lonesome Topless pilot Lal'C Melk Mark, and decides to stake her entire future on following Lal'C, no matter the cost. 
 
[Written by MAL Rewrite]","['Action', 'Sci-Fi', 'Space', 'Comedy', 'Drama', 'Mecha']","Oct 3, 2004 to Aug 25, 2006",6.0,58222,1707,1113.0,7.72,https://cdn.myanimelist.net/images/anime/7/50475.jpg,https://myanimelist.net/anime/1002/Top_wo_Nerae_2_Diebuster
9000,Toaru Hikuushi e no Tsuioku,"The war between the Levamme Empire and the Amatsukami Imperium has been raging for years. In the midst of this struggle, the prince of the Levamme Empire declares his love for Juana del Moral and vows to end the war in one year, as part of his marriage proposal. When the Amatsukami catch wind of this, they assault the del Moral residence, targeting Juana's life. As a last ditch effort to bring the prince his bride, the San Maltilia Airforce hires a mercenary of mixed blood—a bestado—to fly Juana to the Levamme capital in secret. The pilot, Charles, accepts the mission...but traversing an ocean alone, into enemy territory, proves a much more dangerous ordeal than anyone could have anticipated. 
 
(Source: NIS America)","['Adventure', 'Military', 'Romance']","Oct 1, 2011",1.0,45930,2009,1112.0,7.72,https://cdn.myanimelist.net/images/anime/3/36903.jpg,https://myanimelist.net/anime/9000/Toaru_Hikuushi_e_no_Tsuioku
37370,The Perfect World,"Official music video for  B: The Beginning 's ending theme song  The Perfect World . Performed by Marty Friedman feat. Jean-Ken Johnny, KenKen. The music video was released on the music producer Avex's official YouTube channel and it promotes the anime's image album soundtrack going on sale March 7, 2018--only 5 days after the anime is released.  
",['Music'],"Feb 22, 2018",1.0,6337,5238,1111.0,7.72,https://cdn.myanimelist.net/images/anime/1336/90731.jpg,https://myanimelist.net/anime/37370/The_Perfect_World
